121;122;138;128;216;217
138;122;137;216;218;144
124;125;135;131;219;220
135;125;134;219;221;141
125;11;134;132;222;221
134;11;10;222;133;140
6;7;120;119;126;223
6;120;139;223;224;146
139;120;121;224;127;225
139;121;138;225;217;145
137;122;123;218;129;226
137;123;136;226;227;143
136;123;124;227;130;228
136;124;135;228;220;142
9;148;8;154;229;147
8;148;167;229;230;174
151;152;164;158;231;232
164;152;163;231;233;170
152;153;163;159;234;233
163;153;162;234;235;169
153;13;162;160;236;235
162;13;12;236;161;168
149;166;167;237;173;238
149;167;148;238;230;155
150;165;166;239;172;240
149;150;166;156;240;237
165;150;151;239;157;241
165;151;164;241;232;171
67;4;66;250;251;78
4;34;66;40;252;251
66;34;65;252;253;77
34;35;65;41;254;253
65;35;64;254;255;76
35;36;64;42;256;255
64;36;63;256;257;75
36;37;63;43;258;257
63;37;62;258;259;74
37;38;62;44;260;259
62;38;61;260;261;73
38;39;61;45;262;261
61;39;60;262;263;72
39;14;60;46;264;263
60;14;59;264;265;71
242;2;28;266;29;267
24;2;242;27;266;268
28;5;244;30;269;270
244;5;31;269;32;271
244;242;28;272;267;270
31;4;243;33;273;274
244;31;243;271;274;275
243;23;24;276;26;277
24;242;243;268;278;277
242;244;243;272;275;278
245;14;47;279;48;280
245;53;54;281;56;282
59;14;246;265;283;284
246;14;245;283;279;285
58;59;246;70;284;286
54;16;248;57;287;288
248;16;58;287;69;289
248;245;54;290;282;288
248;58;246;289;286;291
245;248;246;290;291;285
23;243;247;276;292;293
247;4;67;294;250;295
247;67;68;295;79;296
243;4;247;273;294;292
247;1;23;297;25;293
68;1;247;80;297;296
50;17;249;52;298;299
249;17;53;298;55;300
249;53;245;300;281;301
249;245;47;301;280;302
47;15;50;49;51;303
249;47;50;302;303;299
2;3;95;94;106;304
2;95;28;304;305;29
95;96;28;107;306;305
28;96;5;306;307;30
96;97;5;108;308;307
5;97;86;308;309;93
97;98;86;109;310;309
86;98;85;310;311;92
98;99;85;110;312;311
85;99;84;312;313;91
99;100;84;111;314;313
84;100;83;314;315;90
100;101;83;112;316;315
83;101;82;316;317;89
101;102;82;113;318;317
82;102;81;318;319;88
102;103;81;114;320;319
81;103;15;320;321;87
103;104;15;115;322;321
15;104;50;322;323;51
104;105;50;116;324;323
50;105;17;324;325;52
105;18;17;117;118;325
177;178;24;181;326;327
177;24;23;327;26;328
177;23;176;328;329;180
20;183;3;195;330;331
20;3;2;331;94;332
20;2;178;332;333;182
178;2;24;333;27;326
176;23;1;329;25;334
176;1;19;334;175;179
183;184;95;196;335;336
95;184;96;335;337;107
184;185;96;197;338;337
96;185;97;338;339;108
185;186;97;198;340;339
97;186;98;340;341;109
186;187;98;199;342;341
98;187;99;342;343;110
187;188;99;200;344;343
99;188;100;344;345;111
188;189;100;201;346;345
100;189;101;346;347;112
189;190;101;202;348;347
101;190;102;348;349;113
190;191;102;203;350;349
102;191;103;350;351;114
191;192;103;204;352;351
103;192;104;352;353;115
192;193;104;205;354;353
104;193;105;354;355;116
193;194;105;206;356;355
194;21;18;207;357;358
18;21;17;357;359;118
16;54;210;57;360;361
16;210;22;361;214;215
54;53;209;56;362;363
54;209;210;363;213;360
17;21;208;359;211;364
17;208;53;364;365;55
53;208;209;365;212;362
183;95;3;336;106;330
194;18;105;358;117;356
4;6;7;373;119;374
4;34;6;40;375;373
4;8;31;376;377;33
4;7;8;374;378;376
31;8;9;377;147;379
7;120;8;126;380;378
8;120;167;380;381;174
34;35;139;41;382;383
120;121;167;127;384;381
167;121;166;384;385;173
35;36;138;42;386;387
121;122;166;128;388;385
138;36;137;386;389;144
166;122;165;388;390;172
136;37;135;391;392;142
123;124;164;130;393;394
164;124;163;393;395;170
37;38;135;44;396;392
163;125;162;397;398;169
163;124;125;395;131;397
38;39;134;45;399;400
125;11;162;132;401;398
162;11;12;401;402;168
39;14;10;46;403;404
13;12;47;161;405;406
12;14;47;407;48;405
12;11;14;402;408;407
11;10;14;133;403;408
10;134;39;140;399;404
134;135;38;141;396;400
138;139;35;145;382;387
6;34;139;375;383;146
37;137;36;409;389;43
136;137;37;143;409;391
165;123;164;410;394;171
165;122;123;390;129;410
366;9;148;411;154;412
367;85;86;413;92;414
367;148;149;415;155;416
368;84;85;417;91;418
368;149;150;419;156;420
84;369;83;421;422;90
151;369;150;423;424;157
152;370;151;425;426;158
83;370;82;427;428;89
153;371;152;429;430;159
82;371;81;431;432;88
372;47;15;433;49;434
81;372;15;435;434;87
366;367;86;436;414;437
366;148;367;412;415;436
367;368;85;438;418;413
367;149;368;416;419;438
368;369;84;439;421;417
368;150;369;420;424;439
369;370;83;440;427;422
369;151;370;423;426;440
370;371;82;441;431;428
370;152;371;425;430;441
372;13;47;442;406;433
31;366;5;443;444;32
366;31;9;443;379;411
366;86;5;437;93;444
13;372;153;442;445;160
371;372;81;446;435;432
371;153;372;429;445;446
